Data Point Listing of File D:\Samples\Fpraktikum\2023-winter\10112023\Spectrum-optimized-45x8MHz.tnt
Starting Point:	1	Ending Point:	512
Real	Imag	Hz
-66598.141	17051.703	500000.000
-1334290.000	-1278855.625	498046.875
307168.938	-765047.125	496093.750
-1535691.625	-230376.563	494140.625
-1256729.625	2592160.250	492187.500
-380199.563	-1545955.000	490234.375
-127294.953	378553.938	488281.250
-1235673.125	852356.938	486328.125
-1844665.500	-281198.188	484375.000
-113241.648	2587358.500	482421.875
-1393832.250	5509380.000	480468.750
-843901.688	4796776.000	478515.625
-1116581.125	3131288.250	476562.500
-276438.344	1059481.875	474609.375
1423711.625	-1268437.875	472656.250
85017.570	131033.516	470703.125
3808184.750	111623.258	468750.000
-542598.938	1379123.250	466796.875
1047781.813	-2112087.500	464843.750
-1426366.250	-1443128.250	462890.625
1465411.750	-1337540.000	460937.500
-229183.375	5029213.500	458984.375
-1506608.750	-1791163.000	457031.250
-286322.375	2344326.000	455078.125
-2246520.250	-951310.625	453125.000
-1906037.000	-1201423.375	451171.875
-1448150.125	-2269691.000	449218.750
217253.688	-957646.250	447265.625
-2078179.750	2269130.250	445312.500
-1763512.250	2715774.250	443359.375
-1632639.125	-1306643.875	441406.250
1579196.625	-359603.375	439453.125
-2171404.250	2084348.500	437500.000
638862.063	1592536.500	435546.875
-2087457.125	-1003311.313	433593.750
1619532.375	-295643.469	431640.625
-979992.500	2970006.750	429687.500
-1447462.125	1782354.375	427734.375
132305.094	228968.422	425781.250
-69662.211	-1155861.125	423828.125
1286883.375	115788.469	421875.000
477435.188	-349142.688	419921.875
795788.188	1606936.000	417968.750
2781301.750	966833.438	416015.625
1413257.375	-1357640.250	414062.500
-1252080.000	2680205.500	412109.375
219088.109	-195059.828	410156.250
-2082446.375	2546311.750	408203.125
198517.656	313371.438	406250.000
189479.297	477565.250	404296.875
495329.188	2469939.250	402343.750
4422568.500	-11289406.000	400390.625
-1777042.375	3081271.750	398437.500
-2581605.750	-1052204.750	396484.375
1840980.375	3483612.750	394531.250
3483145.750	2780560.500	392578.125
980814.625	686174.313	390625.000
709494.875	2293255.000	388671.875
-1607374.625	616508.000	386718.750
4012563.000	1151765.500	384765.625
-1807905.875	2095179.625	382812.500
-1403558.125	-11219860.000	380859.375
-224859.031	-224435.516	378906.250
-794762.375	2334449.750	376953.125
2749539.750	1384311.250	375000.000
2017047.125	1331519.250	373046.875
-283996.250	-1446386.625	371093.750
4072266.750	474274.625	369140.625
-2144943.750	2037211.250	367187.500
103365.750	-1383405.125	365234.375
-4104890.250	-1269408.500	363281.250
429648.906	-896718.875	361328.125
1576170.000	-469213.969	359375.000
-333460.781	1799338.375	357421.875
2947324.250	-2768967.750	355468.750
437164.344	-68431.117	353515.625
-299659.813	-576094.563	351562.500
1136666.375	1450295.500	349609.375
-192746.828	-352442.219	347656.250
-319466.250	-2295042.750	345703.125
-144660.703	-2040439.375	343750.000
1577421.000	-2996541.750	341796.875
-1354296.625	-41203.113	339843.750
2447316.000	1684723.125	337890.625
-2648324.750	3562906.750	335937.500
900969.438	110801.156	333984.375
-593898.625	-251881.422	332031.250
