Data Point Listing of File D:\Samples\Fpraktikum\2023-winter\10112023\export\Spectrum-optimized-46x0MHz.tnt
Starting Point:	1	Ending Point:	512
Real	Imag	Hz
13193936.000	-25592086.000	500000.000
10886445.000	-24276364.000	498046.875
9355250.000	-26245450.000	496093.750
8550207.000	-28591070.000	494140.625
4750330.000	-27998984.000	492187.500
1511091.000	-35297312.000	490234.375
-340588.594	-32494254.000	488281.250
-6317143.500	-37814948.000	486328.125
-7426391.000	-34462884.000	484375.000
-14268730.000	-37585096.000	482421.875
-22700624.000	-35375328.000	480468.750
-29569536.000	-34520872.000	478515.625
-30021384.000	-33392996.000	476562.500
-38168424.000	-22533732.000	474609.375
-36120988.000	-16304486.000	472656.250
-39683424.000	-5879312.000	470703.125
-36515040.000	-3062009.500	468750.000
-36910476.000	7416126.000	466796.875
-32349932.000	8195831.500	464843.750
-30190490.000	11308234.000	462890.625
-25666912.000	14197529.000	460937.500
-21623118.000	13748175.000	458984.375
-18151976.000	12792865.000	457031.250
-12340614.000	18344632.000	455078.125
-9667714.000	13794826.000	453125.000
-9510302.000	14915078.000	451171.875
-4673002.500	16434327.000	449218.750
-4545388.500	15487304.000	447265.625
-4246823.000	12661629.000	445312.500
-1089879.250	12462866.000	443359.375
760661.688	12797558.000	441406.250
867177.438	9495349.000	439453.125
-1212816.500	8596076.000	437500.000
-258759.531	7387113.500	435546.875
-366796.438	6142950.000	433593.750
3310489.750	4803168.500	431640.625
5238834.500	4782806.000	429687.500
6616455.500	9535312.000	427734.375
-516529.125	4554884.000	425781.250
153005.969	5521923.500	423828.125
3633021.250	179044.391	421875.000
3682992.750	1627409.250	419921.875
-328718.219	115634.758	417968.750
2378855.750	1104381.500	416015.625
1390330.625	1344291.750	414062.500
900313.063	-200118.625	412109.375
-106652.461	2538583.000	410156.250
5843267.500	-292358.875	408203.125
-698403.938	-2410896.250	406250.000
274627.406	-203841.734	404296.875
242639.969	-662739.813	402343.750
301950.906	-213057.453	400390.625
308868.469	1294383.125	398437.500
-3139675.000	-977772.500	396484.375
293664.719	1628238.125	394531.250
-3295350.500	1556841.875	392578.125
-1158147.875	750656.063	390625.000
-11439.617	-2001266.500	388671.875
-1036723.625	-3213143.250	386718.750
18026.891	-3078178.000	384765.625
3244878.000	-2725008.750	382812.500
6613714.000	12325666.000	380859.375
-2709862.500	-512014.406	378906.250
-2965647.500	371509.000	376953.125
-362498.813	-1148893.125	375000.000
2100537.750	1424833.750	373046.875
1431495.375	1403599.500	371093.750
178950.078	337112.094	369140.625
-1235503.125	964857.375	367187.500
-2240563.500	1207503.750	365234.375
-2863736.750	-1286002.875	363281.250
-512591.156	-6181958.000	361328.125
-2401640.750	-44846.480	359375.000
1211762.375	-285525.281	357421.875
657908.563	184541.516	355468.750
323218.719	-3435583.500	353515.625
-1652040.375	3463812.750	351562.500
728862.500	-1239787.750	349609.375
-4021238.000	-3216727.750	347656.250
2285655.000	-1022822.438	345703.125
-1280513.500	-719805.625	343750.000
-775381.438	-3114142.500	341796.875
3492803.500	-1682545.000	339843.750
-130045.773	-3596089.500	337890.625
-266472.906	-520799.688	335937.500
1321109.625	872886.563	333984.375
3234878.000	-1723986.625	332031.250
3023659.000	993899.000	330078.125
1076406.500	-2815578.250	328125.000
2190796.250	-3076472.750	326171.875
-1517382.125	-80169.555	324218.750
-2519827.500	-1138991.375	322265.625
-103784.180	-67134.664	320312.500
-1207988.625	-1542445.625	318359.375
-4792882.000	2752590.500	316406.250
255711.016	-336513.031	314453.125
2710580.000	-2540713.250	312500.000
-1535183.625	1324722.250	310546.875
1816772.625	173689.109	308593.750
950944.250	-436451.406	306640.625
-3342072.250	-2644108.000	304687.500
-3001228.000	-615227.063	302734.375
-480836.938	-2577991.750	300781.250
-959779.688	-1577675.375	298828.125
1349597.750	-1544120.500	296875.000
354377.156	4066963.750	294921.875
-507578.219	-899267.875	292968.750
-1945036.125	-2114271.250	291015.625
2461925.000	714641.875	289062.500
1627800.250	903495.313	287109.375
1203688.750	198712.203	285156.250
-968018.375	-228740.406	283203.125
-136417.594	-706035.563	281250.000
-920079.875	234862.859	279296.875
1453823.500	2544999.250	277343.750
3284052.750	-1343099.500	275390.625
-127169.000	240208.672	273437.500
-2189498.750	1679812.375	271484.375
-3496054.000	-6544037.000	269531.250
2223548.250	2330472.000	267578.125
-2119679.000	-2779675.000	265625.000
-914565.188	634771.250	263671.875
-589360.063	-4982980.000	261718.750
309730.281	182797.828	259765.625
3283397.250	1270763.625	257812.500
-2277065.500	-1558635.500	255859.375
-176850.453	8332.812	253906.250
348009.844	-4841553.500	251953.125
-3405419.750	-2487804.500	250000.000
-856404.750	1040616.000	248046.875
-221154.109	169198.984	246093.750
463238.281	-906820.563	244140.625
1430869.000	2019428.750	242187.500
-2170661.250	-562244.438	240234.375
3047710.750	-1288350.875	238281.250
-4423644.500	689841.688	236328.125
-400759.844	-2134983.000	234375.000
-4885840.000	-780817.375	232421.875
-4618034.500	-828980.000	230468.750
3697899.750	525955.938	228515.625
246275.031	1444826.250	226562.500
-467594.688	-23694.617	224609.375
-2523560.250	-1770855.250	222656.250
2561378.250	-3052725.000	220703.125
135669.344	-414931.500	218750.000
-1249019.375	2061167.750	216796.875
807081.563	-694035.875	214843.750
-2561613.750	2412980.000	212890.625
1550768.875	-2059621.875	210937.500
1291244.375	-186102.109	208984.375
168870.891	-982954.625	207031.250
-854204.438	1235265.000	205078.125
-473587.531	-1883398.500	203125.000
-3436514.750	1075262.250	201171.875
-2174104.500	1351142.125	199218.750
1955478.625	-1801849.625	197265.625
292153.000	-1379958.750	195312.500
681837.750	399659.750	193359.375
2825777.250	1665928.750	191406.250
-3441316.750	-1623349.500	189453.125
776296.188	351033.750	187500.000
192539.656	-2398880.250	185546.875
-2181387.000	-26801.291	183593.750
1258332.500	4975230.000	181640.625
1201951.250	1462587.750	179687.500
1801317.750	-185693.016	177734.375
4676172.000	2976750.750	175781.250
-743168.063	-963639.563	173828.125
2775911.500	-2785736.000	171875.000
-3250060.000	2858041.250	169921.875
-3532108.500	-5319809.000	167968.750
7322051.500	-1938872.250	166015.625
-3514452.250	-2294866.750	164062.500
214190.234	1541927.250	162109.375
-97132.297	4504524.500	160156.250
-1146951.375	2470600.000	158203.125
1076150.375	-882647.375	156250.000
4888912.000	-4117413.000	154296.875
-887245.063	-3721572.500	152343.750
-1392874.125	702279.500	150390.625
173985.828	1925546.500	148437.500
3363525.250	-4011841.250	146484.375
5405217.500	-288803.438	144531.250
858417.875	1687762.750	142578.125
-1070487.000	-2269805.750	140625.000
935141.438	7204272.500	138671.875
5566183.500	2182959.250	136718.750
565068.000	-3943923.000	134765.625
666700.938	-5363284.500	132812.500
-3178303.250	1853904.875	130859.375
1372648.750	99452.180	128906.250
425496.031	-813772.750	126953.125
1597694.125	-1350879.875	125000.000
3260656.750	2433195.750	123046.875
4192948.250	-960003.125	121093.750
-1222609.500	1576995.875	119140.625
-2761289.250	82832.164	117187.500
1051966.500	-350359.906	115234.375
-1075955.625	2511623.000	113281.250
660211.688	-2049849.875	111328.125
-5176646.500	-492721.531	109375.000
1911128.375	100007.609	107421.875
298626.031	-3358289.750	105468.750
-395561.000	1381825.250	103515.625
2031528.125	2572369.500	101562.500
