Data Point Listing of File D:\Samples\Fpraktikum\2023-winter\10112023\Spectrum-optimized-45x2MHz.tnt
Starting Point:	1	Ending Point:	512
Real	Imag	Hz
1117149.375	5159997.000	500000.000
1887511.625	591031.188	498046.875
2387883.000	2177932.250	496093.750
1579956.125	-46809.586	494140.625
2678228.000	521602.844	492187.500
1254532.250	1311057.500	490234.375
587402.688	23072.984	488281.250
1039963.875	919003.750	486328.125
112058.219	-332378.313	484375.000
1534758.750	-1148051.000	482421.875
554068.375	2313385.250	480468.750
1836457.750	1889114.875	478515.625
937303.063	-133764.516	476562.500
1002909.250	764604.438	474609.375
1382762.625	2730222.750	472656.250
1758582.000	1397538.250	470703.125
543659.063	13364.142	468750.000
1752255.125	389119.500	466796.875
2072403.375	1265863.250	464843.750
1971523.625	1703792.125	462890.625
1066916.875	1460248.625	460937.500
549150.375	2520320.250	458984.375
1523870.250	1760929.250	457031.250
497516.125	721686.500	455078.125
-1355115.375	751892.063	453125.000
799192.750	1682961.250	451171.875
1716144.625	2305154.000	449218.750
816962.500	1388897.750	447265.625
1426873.875	3126490.500	445312.500
899794.625	1470398.000	443359.375
2235725.500	3612842.500	441406.250
189020.594	2652021.000	439453.125
2469967.500	3469015.000	437500.000
1947920.875	3698507.750	435546.875
2992253.750	4030284.500	433593.750
2307740.250	3642572.250	431640.625
3171977.750	4296468.500	429687.500
5187325.500	4660697.000	427734.375
3587354.250	3990027.500	425781.250
4405193.000	4477316.000	423828.125
4027932.250	4358958.500	421875.000
4816501.000	2835536.250	419921.875
3890189.000	4577281.000	417968.750
5152124.000	4258535.000	416015.625
5445143.500	3916074.000	414062.500
4856284.500	4651366.000	412109.375
7501879.500	4353688.000	410156.250
6385194.000	4064208.000	408203.125
5510328.000	3680632.750	406250.000
7341892.500	3629108.500	404296.875
6072371.500	1789662.875	402343.750
4314917.000	2382784.000	400390.625
7958355.000	1040100.500	398437.500
7954676.000	599295.938	396484.375
7267365.000	-1682653.000	394531.250
6295359.000	-684370.313	392578.125
8305010.000	-871622.063	390625.000
7049044.000	1565317.875	388671.875
7013925.000	-2495360.250	386718.750
5002236.500	-1265490.375	384765.625
4846488.000	-1255914.875	382812.500
3356426.500	935311.875	380859.375
5329810.000	-1563821.375	378906.250
2380877.750	-3205851.250	376953.125
1579314.875	-889843.063	375000.000
1000770.500	-2286032.000	373046.875
738131.313	491381.219	371093.750
493347.719	-76690.414	369140.625
702728.813	131659.438	367187.500
-1678626.875	2565581.000	365234.375
-1809225.000	1617856.000	363281.250
-3063077.750	4276538.000	361328.125
-1798690.500	3530361.750	359375.000
-2559347.250	4498049.500	357421.875
-3794008.000	5635548.500	355468.750
-4505485.000	7917597.000	353515.625
-3516062.250	8418562.000	351562.500
-6106949.500	10130007.000	349609.375
-4468611.500	13560744.000	347656.250
-3879663.500	13176669.000	345703.125
-4343824.500	17112000.000	343750.000
-3788691.500	18787816.000	341796.875
-533161.188	21468842.000	339843.750
-3115732.000	25008264.000	337890.625
1662013.125	26789794.000	335937.500
1882502.125	29841404.000	333984.375
5521402.000	31074638.000	332031.250
6674827.500	32996124.000	330078.125
9678860.000	38206004.000	328125.000
14743255.000	37940544.000	326171.875
17315712.000	41364260.000	324218.750
19962066.000	43931360.000	322265.625
27065836.000	44893640.000	320312.500
30739168.000	49130988.000	318359.375
39748988.000	52294088.000	316406.250
43933244.000	51378452.000	314453.125
51579560.000	49609060.000	312500.000
60514004.000	49509340.000	310546.875
68742184.000	50372172.000	308593.750
78967352.000	47787292.000	306640.625
88765368.000	43965752.000	304687.500
99857304.000	38839984.000	302734.375
111439464.000	30353628.000	300781.250
119661408.000	23988006.000	298828.125
132490696.000	12888277.000	296875.000
144309024.000	56872.289	294921.875
154821712.000	-18468894.000	292968.750
162099584.000	-35051680.000	291015.625
169712416.000	-58510892.000	289062.500
171431536.000	-87735960.000	287109.375
170332160.000	-117807000.000	285156.250
159292096.000	-152072176.000	283203.125
141641456.000	-186675984.000	281250.000
109690272.000	-218045248.000	279296.875
68412216.000	-239671584.000	277343.750
19189996.000	-245860192.000	275390.625
-22447112.000	-238178832.000	273437.500
-62264124.000	-220248848.000	271484.375
-88723200.000	-197461456.000	269531.250
-110858720.000	-175285408.000	267578.125
-127872936.000	-146504448.000	265625.000
-133456592.000	-119483240.000	263671.875
-140131072.000	-97367648.000	261718.750
-141459120.000	-74007064.000	259765.625
-139520816.000	-55308664.000	257812.500
-132536544.000	-36803000.000	255859.375
-129132224.000	-22540876.000	253906.250
-116140600.000	-5528949.000	251953.125
-109027920.000	6095571.000	250000.000
-100889656.000	12810421.000	248046.875
-89151448.000	23703874.000	246093.750
-82757688.000	26009220.000	244140.625
-72237280.000	32430382.000	242187.500
-62364516.000	35043588.000	240234.375
-54769820.000	34781428.000	238281.250
-44447844.000	36970160.000	236328.125
-38511132.000	37683976.000	234375.000
-35910620.000	36333980.000	232421.875
-25957844.000	35591112.000	230468.750
-21507046.000	32751568.000	228515.625
-18330188.000	30087490.000	226562.500
-13637161.000	28521680.000	224609.375
-9173094.000	22851832.000	222656.250
-7108230.500	22559938.000	220703.125
-4578679.500	20226364.000	218750.000
-1447282.750	18693750.000	216796.875
-447014.969	17200194.000	214843.750
1222838.125	12390660.000	212890.625
2046336.625	8890434.000	210937.500
3116852.500	8159979.500	208984.375
5296846.500	8249725.000	207031.250
6425821.500	7277623.500	205078.125
2944561.500	6763048.500	203125.000
16926382.000	11980586.000	201171.875
-25458078.000	-15660237.000	199218.750
-8719614.000	-2383810.250	197265.625
-7211495.000	-2061196.750	195312.500
-4597700.000	-1169029.875	193359.375
-6308333.500	-4491589.000	191406.250
-8555323.000	-5381717.500	189453.125
-4660730.000	-4993004.000	187500.000
-5412866.500	-5363250.500	185546.875
-6637598.500	-5974828.000	183593.750
-6228600.000	-5144761.000	181640.625
-6462261.500	-5518320.500	179687.500
-6436762.500	-5701859.500	177734.375
-7788448.500	-762340.813	175781.250
-7273089.000	-4532339.500	173828.125
-9996020.000	-1927140.625	171875.000
-10036233.000	-3333476.750	169921.875
-10183688.000	-2151260.000	167968.750
-9114520.000	-1942276.250	166015.625
-9664352.000	-908618.438	164062.500
-9654840.000	-64502.445	162109.375
-10558604.000	-2890791.750	160156.250
-8073040.000	-258544.750	158203.125
-7856823.000	110750.750	156250.000
-6208874.000	-1007073.375	154296.875
-9011308.000	-916511.125	152343.750
-7108646.000	1306461.375	150390.625
-7813381.500	1970811.375	148437.500
-5733699.500	2956661.250	146484.375
-6031833.000	1277140.750	144531.250
-6230228.500	1653204.000	142578.125
-5275344.500	632337.375	140625.000
-2747780.250	242898.844	138671.875
-4160649.750	2450954.000	136718.750
-4509839.000	341489.406	134765.625
-6164366.500	400859.656	132812.500
-5049877.000	-52935.980	130859.375
-1346493.000	991023.688	128906.250
-5688885.500	984489.375	126953.125
-635499.813	-2852111.000	125000.000
-2681264.250	1094960.125	123046.875
-2727374.000	-721237.063	121093.750
-2986337.000	1993530.875	119140.625
-3432719.000	-1210489.750	117187.500
-2161816.250	-1386767.750	115234.375
-3840763.500	-2952170.500	113281.250
-2775173.000	51457.219	111328.125
-3731652.500	-1426625.000	109375.000
-3818837.000	-2325828.250	107421.875
-4621466.500	-3536701.750	105468.750
-4200062.000	-2474238.000	103515.625
-4174210.000	-3217003.750	101562.500
-3920756.500	-402546.688	99609.375
-6586850.000	-1635946.625	97656.250
-3837419.000	-4241373.000	95703.125
-5038610.000	-1007552.875	93750.000
-4014108.750	-2344048.000	91796.875
-4185357.250	-1841763.500	89843.750
-6001892.500	-4278643.500	87890.625
-4037159.750	-2026909.750	85937.500
-5144823.500	-294986.813	83984.375
-5166187.000	-675942.438	82031.250
-8570888.000	-872944.938	80078.125
-7212565.500	-102058.617	78125.000
-5120091.000	-1537490.375	76171.875
-7235805.000	-1292064.750	74218.750
-6045287.000	-2579974.250	72265.625
-6533396.500	1109121.125	70312.500
