Data Point Listing of File D:\Samples\Fpraktikum\2023-winter\10112023\export2\Spectrum-own_coil-45x474MHz_100000scans.tnt
Starting Point:	1	Ending Point:	512
Real	Imag	usec
592526.938	3492674.750	0.000
57661.844	-3646240.500	1.000
5164547.500	597619.438	2.000
5366851.500	4855485.000	3.000
2763793.750	-302577.344	4.000
-3830948.250	-307485.938	5.000
-628062.688	529898.625	6.000
-2263549.250	-626483.875	7.000
-3602670.000	888724.875	8.000
495761.938	-3708591.750	9.000
-6494667.000	-4763432.000	10.000
-1495260.500	727244.125	11.000
584285.563	2394550.500	12.000
8049.704	1354368.000	13.000
-1483746.500	742753.875	14.000
316488.844	7294404.500	15.000
6931200.500	-2724053.250	16.000
3820519.750	-339678.000	17.000
-1748913.000	2678013.000	18.000
1745435.750	-2973725.500	19.000
-1836492.750	6242112.500	20.000
5294013.000	-1452442.875	21.000
2574717.000	-5882379.000	22.000
-431979.125	-1821703.375	23.000
-3698932.000	2739020.250	24.000
-2272457.750	670059.688	25.000
-3221617.250	3645577.250	26.000
-1429033.125	-1086738.875	27.000
5316236.000	5218054.000	28.000
1620968.250	2491798.250	29.000
-2564876.750	2119573.000	30.000
7426086.000	2011165.250	31.000
4863623.000	-1140374.750	32.000
-1561013.375	-543732.750	33.000
526449.688	-1251979.500	34.000
-2843509.000	3868802.500	35.000
278156.813	227620.328	36.000
-838008.063	-2525389.500	37.000
-3084786.500	5772150.500	38.000
3535750.500	2622872.750	39.000
-2593125.750	-4749607.000	40.000
-184114.344	-796259.438	41.000
-3641036.250	1533638.250	42.000
-2867551.750	-1614756.750	43.000
1944584.750	6992795.000	44.000
6868935.000	-5133069.500	45.000
1382246.875	5097662.500	46.000
-2123464.750	-5519551.000	47.000
-1236684.625	392131.000	48.000
-882043.063	-4269868.500	49.000
-5129831.500	1825265.625	50.000
1987932.750	683740.000	51.000
486613.188	3764788.000	52.000
9779196.000	-1222485.375	53.000
1647740.875	-4682493.500	54.000
3310186.000	-1766667.750	55.000
