Data Point Listing of File D:\Samples\Fpraktikum\2023-winter\10112023\Spectrum-own_coil-45x474MHz_32000scans.tnt
Starting Point:	1	Ending Point:	512
Real	Imag	usec
289767.656	1188034.000	0.000
-647489.563	3715654.500	1.000
2566524.750	-1273298.000	2.000
2248650.250	-1623501.250	3.000
-1058712.125	1390642.875	4.000
-285083.125	289536.969	5.000
1160357.000	-364643.125	6.000
2891415.000	-2012514.750	7.000
1805492.500	-2636965.250	8.000
-1399560.875	4891647.000	9.000
-554434.313	-372767.781	10.000
-249806.422	4975251.000	11.000
3069931.000	899904.938	12.000
1487957.000	-2369361.250	13.000
694397.938	-2886569.000	14.000
46492.578	988861.250	15.000
1282512.000	494040.031	16.000
-246572.859	-2018970.375	17.000
2639246.750	2705755.000	18.000
452667.125	-1374962.000	19.000
-777699.875	334367.000	20.000
-683611.063	-2579408.000	21.000
-1948082.000	-2230749.000	22.000
-393857.313	3806352.500	23.000
1340774.125	-142491.125	24.000
-1792990.875	806457.188	25.000
1518324.875	1358473.250	26.000
257251.328	3648962.000	27.000
2480554.000	-1542277.875	28.000
-120631.000	-968931.625	29.000
1364167.875	-633534.938	30.000
-1044310.938	-155277.094	31.000
-5706064.000	1670603.250	32.000
2078334.750	2785137.000	33.000
1481175.000	-1133145.250	34.000
-2617533.000	-278183.313	35.000
-1916548.875	1671577.250	36.000
-3123470.500	-47260.895	37.000
268452.875	1710496.000	38.000
2380445.500	2890907.000	39.000
850354.063	-1590337.625	40.000
-461141.094	-146383.391	41.000
-1349968.625	-1167534.875	42.000
-1120133.125	-594621.938	43.000
1841051.875	663488.500	44.000
1487050.000	-399169.063	45.000
173868.797	-1194601.000	46.000
-1421409.375	-1475692.875	47.000
364158.469	1637151.875	48.000
499709.031	-1055163.125	49.000
-2906152.000	2784763.500	50.000
-3745415.750	-250328.344	51.000
-2578697.000	776533.875	52.000
136072.797	2419173.250	53.000
-2447382.500	158546.688	54.000
4021433.500	-487798.844	55.000
-2414024.250	-4385666.500	56.000
78723.875	-522677.063	57.000
1496901.375	1405746.625	58.000
271508.938	-733224.313	59.000
-1509177.125	2459830.750	60.000
-731134.063	-1249210.875	61.000
-47077.137	-1204930.750	62.000
223598.734	213839.078	63.000
-2011027.750	115448.789	64.000
831153.125	1357880.125	65.000
167516.953	-2375119.000	66.000
-1225658.000	-2005255.125	67.000
-3006240.000	-1462738.125	68.000
-775967.125	-1892663.000	69.000
-197480.984	5232435.000	70.000
1702532.750	-2716454.250	71.000
-494961.563	-909841.000	72.000
-1963547.250	-2364170.000	73.000
-166216.234	1588046.250	74.000
-2431741.000	92940.063	75.000
595125.500	301002.813	76.000
861117.375	1527911.875	77.000
-763673.813	2389112.000	78.000
-2191743.500	453185.125	79.000
3485842.500	-101230.992	80.000
2228273.500	-3064184.500	81.000
-906955.125	3621235.500	82.000
1034010.875	-2118867.250	83.000
-778260.875	-1532105.250	84.000
3838640.000	292235.063	85.000
-699999.063	-2291798.250	86.000
1252380.875	1043405.500	87.000
2388633.750	-2405084.750	88.000
2931822.000	-988140.063	89.000
2367379.750	-3270748.250	90.000
949758.125	1640480.750	91.000
1510856.000	239086.234	92.000
-921648.063	-1589729.125	93.000
-778141.625	-1162016.000	94.000
-1346279.625	-3707732.750	95.000
3051940.000	1709111.875	96.000
1168891.875	-547005.188	97.000
-1426563.125	-1087658.750	98.000
-282501.719	2601262.750	99.000
2208920.000	3026554.500	100.000
-1131841.875	-1749630.750	101.000
187926.172	-941005.750	102.000
-2276319.250	-4329267.500	103.000
-4769026.500	1642021.375	104.000
-1588448.750	5040771.000	105.000
3942819.500	2410770.250	106.000
-557791.125	-272376.938	107.000
792532.750	-4444935.500	108.000
-319607.031	-569974.125	109.000
-950125.938	571578.875	110.000
3597632.000	4172505.500	111.000
1112461.125	-845676.813	112.000
1371091.375	-316612.219	113.000
243695.063	-2113905.000	114.000
811795.000	1383675.125	115.000
-1280105.875	3812719.000	116.000
492145.875	1501824.625	117.000
1115370.375	1623937.125	118.000
-2097407.000	-1163368.500	119.000
2403841.000	1191156.250	120.000
2156610.000	1667424.875	121.000
-980490.750	-2287668.000	122.000
271436.906	341141.281	123.000
1869054.000	2573155.250	124.000
-579268.250	-6120.142	125.000
2765383.000	2740518.750	126.000
3070751.250	2439421.750	127.000
-442721.000	-1548313.000	128.000
-216201.953	2391438.000	129.000
2366693.500	-4437940.000	130.000
-2800246.500	2438780.250	131.000
277752.281	1796814.375	132.000
3055362.500	1674724.000	133.000
-98611.875	-2472779.750	134.000
-2428448.750	753243.875	135.000
2425226.750	-849202.938	136.000
-398493.813	1069822.000	137.000
2405642.750	-230067.000	138.000
435808.813	14913.965	139.000
648846.375	-340334.969	140.000
-1298437.500	-622831.813	141.000
-1893782.875	4140269.250	142.000
829034.938	-2704612.250	143.000
1296517.750	1819730.375	144.000
-3502426.750	-891240.750	145.000
-1536078.500	1839347.375	146.000
1202337.875	2739348.000	147.000
-343790.844	217243.172	148.000
2155266.000	-1782009.125	149.000
-2958746.500	-1569439.000	150.000
-3676910.750	1414706.250	151.000
1992742.625	2064503.000	152.000
831881.750	-3120696.250	153.000
594175.813	723266.125	154.000
156992.703	-1632274.625	155.000
5068425.000	44326.246	156.000
-5413964.000	326545.969	157.000
-3124122.250	2938851.000	158.000
332814.750	771227.063	159.000
2691576.500	-981666.313	160.000
523625.031	-2634190.500	161.000
-1433596.000	-1430443.000	162.000
-1621834.250	-2202089.500	163.000
166794.906	2065789.750	164.000
-1098216.500	-2574964.750	165.000
21075.980	93128.438	166.000
-661407.500	385282.844	167.000
3811199.750	3082173.750	168.000
-2406340.250	419935.125	169.000
-79950.969	1846716.750	170.000
2664037.500	-2840927.750	171.000
921787.750	2167505.750	172.000
2087545.125	-853874.188	173.000
-176264.875	-52103.957	174.000
-1414008.875	-2523344.500	175.000
792395.188	-4141721.000	176.000
-4318961.000	-1662482.250	177.000
-3741503.750	-881397.375	178.000
-1341210.750	4174892.000	179.000
2511322.250	-1308233.750	180.000
3875431.500	3110489.250	181.000
2937092.750	-4732445.000	182.000
-4605957.500	231908.750	183.000
-1017210.063	2756630.000	184.000
-708997.688	745052.250	185.000
3344917.000	3174717.000	186.000
-1690833.125	-951919.125	187.000
1313581.000	135585.250	188.000
-1835300.625	-1910948.625	189.000
1386221.250	181037.922	190.000
-1107972.500	1226739.750	191.000
918843.875	-1078786.875	192.000
-453857.813	-1339458.125	193.000
-1000146.125	-2450903.750	194.000
-1019720.688	2445400.000	195.000
2653362.750	-644207.250	196.000
-1322611.875	182809.813	197.000
834585.938	-3353784.000	198.000
-568604.688	-628701.188	199.000
179036.250	-226154.625	200.000
3091406.750	2348989.000	201.000
2162701.000	-5504036.500	202.000
-3374140.250	-275829.219	203.000
-57705.922	421036.031	204.000
-764959.688	887811.000	205.000
317267.938	1430843.875	206.000
1009750.563	193495.266	207.000
1434877.625	-2302521.000	208.000
2089217.000	-2647264.250	209.000
-1691744.500	1907796.000	210.000
3943316.750	-850324.375	211.000
597639.938	-423602.906	212.000
-2612459.500	1718701.125	213.000
501513.531	-1208652.875	214.000
-2957471.750	-1403480.750	215.000
-1944713.000	581586.938	216.000
-3351106.250	57164.723	217.000
-1134734.375	-380725.875	218.000
-259776.219	657737.188	219.000
522201.875	1626060.125	220.000
-87026.367	-1878694.875	221.000
-1383119.875	-626578.875	222.000
3605750.500	1329378.625	223.000
-605459.063	-458995.031	224.000
-878804.125	-568796.313	225.000
-752670.813	1569486.250	226.000
-1578659.875	207694.406	227.000
1981468.875	-1911200.375	228.000
76762.852	-1804247.625	229.000
343647.875	3258444.750	230.000
-1412238.625	-1048716.750	231.000
444182.469	4485271.500	232.000
5573828.000	1845894.750	233.000
3009800.750	-1763305.750	234.000
-595288.000	-2796389.250	235.000
683877.938	3130120.500	236.000
3925663.750	-2465020.750	237.000
2948627.000	5422158.000	238.000
-41793.016	-3000697.750	239.000
-1037815.938	-1873271.125	240.000
-2556465.750	-6400928.500	241.000
5623050.000	2199510.000	242.000
-3836409.500	-3956700.750	243.000
9351698.000	5337923.500	244.000
-10791690.000	-8874720.000	245.000
5146432.000	5848186.000	246.000
-7256588.500	-1617982.625	247.000
5064895.000	3148109.000	248.000
-731899.938	-2195184.750	249.000
875796.625	-1647754.125	250.000
2513029.500	-6595947.000	251.000
-3673957.750	1531301.750	252.000
672300.938	3279297.000	253.000
1564106.750	1682039.125	254.000
2029905.875	546267.000	255.000
-1561590.125	-575504.813	256.000
0.641	-0.177	257.000
0.354	0.044	258.000
0.000	-0.265	259.000
-0.354	0.265	260.000
-0.221	-0.066	261.000
1158978.000	-1488564.000	262.000
2490027.750	-865137.188	263.000
-1556707.250	-2535465.750	264.000
983650.188	2576478.750	265.000
-549088.188	3221902.250	266.000
1668533.000	-940572.188	267.000
-1144823.000	-742210.000	268.000
-2482042.750	300700.156	269.000
-1523603.000	-1804145.750	270.000
412405.125	1114875.250	271.000
1818796.750	-1484123.750	272.000
1014850.250	-1507557.125	273.000
628422.375	2151531.750	274.000
-677030.938	67345.734	275.000
-1732641.875	-442365.719	276.000
124063.695	2495818.250	277.000
2740024.500	1808967.250	278.000
1601608.125	-2249816.000	279.000
-3927905.000	2030721.875	280.000
-1078357.000	1662842.875	281.000
-2105447.750	216658.656	282.000
1491870.625	902376.000	283.000
-434678.063	1672291.375	284.000
-3218437.500	1628564.875	285.000
1147788.125	-1467756.875	286.000
1308670.375	44612.328	287.000
3570827.250	1796725.250	288.000
-2598362.250	-2884495.250	289.000
-801267.563	-976721.375	290.000
-110857.898	2192380.250	291.000
306755.719	2350202.000	292.000
-146134.578	-1893376.000	293.000
377185.188	-278512.031	294.000
335178.156	-2792936.750	295.000
-201711.703	-812349.250	296.000
-905800.063	1443742.625	297.000
-441069.500	1969920.125	298.000
197658.844	684566.813	299.000
-982867.000	-110485.742	300.000
-708547.125	-982295.938	301.000
975932.125	1180892.750	302.000
1386391.125	-1117951.625	303.000
-1321922.875	-910676.563	304.000
-679638.000	-275890.125	305.000
-361026.969	1996012.375	306.000
-1387252.750	3537636.000	307.000
2157114.000	3261741.500	308.000
-1867529.125	2525547.250	309.000
-717283.625	14005.570	310.000
982063.125	-5322547.500	311.000
473970.844	309683.250	312.000
2970020.000	412105.906	313.000
611793.500	1569713.375	314.000
-1555934.750	459619.938	315.000
-45875.980	-903282.938	316.000
-5008426.500	330132.938	317.000
-2350698.000	2927261.750	318.000
-1979606.875	2189988.250	319.000
6051961.500	-3174534.000	320.000
17865.672	-2192121.500	321.000
3988780.750	-1632482.875	322.000
543895.063	1604554.625	323.000
1238327.125	3363048.500	324.000
2645420.250	1126923.000	325.000
-192861.094	3002606.500	326.000
2450142.000	-1369618.125	327.000
-2727747.500	-3715492.500	328.000
-1049952.625	696370.750	329.000
3649197.000	27509.900	330.000
-395167.156	785328.188	331.000
1567868.875	439731.875	332.000
-3477338.500	1361341.125	333.000
1862029.500	860557.063	334.000
4092323.500	577936.063	335.000
2991877.750	-1123908.875	336.000
-3410370.750	-1350308.375	337.000
250175.813	-131060.117	338.000
-144917.859	-1234364.875	339.000
2892389.250	-315028.969	340.000
149096.828	276771.656	341.000
-1057981.250	-1999571.875	342.000
594863.063	1937857.375	343.000
-3613877.750	-1606482.250	344.000
-1014600.625	1741776.875	345.000
1831720.625	-509080.094	346.000
1889247.875	-2093575.375	347.000
432280.719	-1281506.000	348.000
374815.813	1351953.750	349.000
4133363.000	1410161.250	350.000
2007162.875	2402789.000	351.000
89937.000	2186811.000	352.000
-4267709.000	-1945510.000	353.000
-2875891.250	301328.813	354.000
-1550236.000	4705087.500	355.000
688681.875	4536284.000	356.000
-1457655.250	-1079469.625	357.000
